flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2896.0,2807.0,2871.0,3121.0,3025.0,0.993286,-0.046997,-0.105408,0.001282,-1.0,0.0,-2.0,1997.0,-889.0,7760.0,282.0,-121.0,-213.0,319.0,-136.0,-136.0,0.20928,-0.093633,0.9733,4060.0,-1780.0,15474.0,-20.0,6.0,-38.0
2894.0,2805.0,2869.0,3121.0,3023.0,0.993286,-0.04718,-0.105591,0.001099,-1.0,0.0,-2.0,2006.0,-889.0,7750.0,288.0,-119.0,-222.0,327.0,-135.0,-144.0,0.20966,-0.093959,0.973243,4066.0,-1788.0,15500.0,-17.0,2.0,-34.0
2896.0,2807.0,2870.0,3119.0,3023.0,0.993225,-0.047424,-0.105896,0.000732,-1.0,0.0,-2.0,2030.0,-905.0,7732.0,307.0,-131.0,-239.0,349.0,-149.0,-155.0,0.210288,-0.094361,0.973034,4154.0,-1900.0,15358.0,-9.0,8.0,-25.0
2895.0,2803.0,2871.0,3125.0,3027.0,0.993225,-0.047485,-0.106018,0.000671,-1.0,0.0,-1.0,2047.0,-907.0,7720.0,322.0,-133.0,-250.0,366.0,-152.0,-162.0,0.210536,-0.09447,0.973002,4208.0,-1816.0,15404.0,-2.0,7.0,-16.0
2895.0,2806.0,2871.0,3121.0,3023.0,0.993164,-0.047668,-0.106445,0.00061,0.0,-1.0,0.0,2077.0,-912.0,7719.0,345.0,-135.0,-249.0,388.0,-154.0,-156.0,0.211377,-0.094815,0.972772,4128.0,-1818.0,15494.0,4.0,0.0,7.0
2895.0,2805.0,2875.0,3119.0,3024.0,0.993164,-0.047668,-0.106567,0.000671,0.0,0.0,0.0,2061.0,-903.0,7729.0,327.0,-126.0,-239.0,369.0,-144.0,-151.0,0.211614,-0.094828,0.972746,3992.0,-1736.0,15490.0,8.0,2.0,11.0
2896.0,2804.0,2873.0,3126.0,3027.0,0.993103,-0.047791,-0.106873,0.000793,0.0,-1.0,0.0,2031.0,-903.0,7740.0,292.0,-124.0,-227.0,332.0,-141.0,-147.0,0.212195,-0.095091,0.972549,3954.0,-1864.0,15510.0,2.0,-3.0,12.0
2896.0,2803.0,2869.0,3121.0,3025.0,0.993103,-0.047791,-0.107056,0.000854,0.0,-1.0,0.0,2029.0,-906.0,7743.0,287.0,-126.0,-223.0,326.0,-143.0,-143.0,0.212553,-0.095105,0.97251,4044.0,-1810.0,15486.0,9.0,-2.0,11.0
2895.0,2805.0,2871.0,3121.0,3024.0,0.993042,-0.047852,-0.1073,0.001038,0.0,0.0,0.0,2018.0,-900.0,7750.0,273.0,-119.0,-215.0,311.0,-135.0,-139.0,0.213007,-0.09526,0.97233,3976.0,-1762.0,15508.0,7.0,2.0,12.0
2896.0,2807.0,2875.0,3088.0,3024.0,0.993042,-0.047913,-0.107422,0.001099,0.0,-1.0,0.0,2011.0,-904.0,7756.0,264.0,-122.0,-209.0,301.0,-137.0,-135.0,0.213244,-0.095394,0.972299,3988.0,-1862.0,15540.0,7.0,0.0,10.0
